headline,cleaned_headline,label,label_encoded
ติดต่อรับเงินคืนจากการถูกฉ้อโกงออนไลน์ ผ่านเพจ กองอำนวยการรักษาความมั่นคงภายในราชอาณาจักร,ติดต่อรับเงินคืนจากการถูกฉ้อโกงออนไลน์ ผ่านเพจ กองอำนวยการรักษาความมั่นคงภายในราชอาณาจักร,Fake,0
กรมอุตุฯ อัปเดตหลังกลางเดือน ก.ค. 68 ฝนจะเริ่มกลับมาตกเพิ่มขึ้น,กรมอุตุฯ อัปเดตหลังกลางเดือน ก.ค. ฝนจะเริ่มกลับมาตกเพิ่มขึ้น,Real,1
PTT ส่ง SMS ให้คลิกลิงก์ใช้คะแนนสะสมก่อนหมดอายุ,PTT ส่ง SMS ให้คลิกลิงก์ใช้คะแนนสะสมก่อนหมดอายุ,Fake,0
ราคาลำไยลดลงเหลือกิโลกรัมละ 1 บาท,ราคาลำไยลดลงเหลือกิโลกรัมละ บาท,Fake,0
คนไทยติดเชื้อ HIV 6 แสนคน เฉลี่ยชั่วโมงละ 2 คน,คนไทยติดเชื้อ HIV แสนคน เฉลี่ยชั่วโมงละ คน,Fake,0
"ธนาคารกรุงไทยปล่อยสินเชื่อ ครัวเรือนละ 200,000 บาท ผ่อนนาน 60 เดือน","ธนาคารกรุงไทยปล่อยสินเชื่อ ครัวเรือนละ , บาท ผ่อนนาน เดือน",Fake,0
ยกเลิก สะเดา-ข่า-ตะไคร้หอม จากบัญชีวัตถุอันตราย,ยกเลิก สะเดา-ข่า-ตะไคร้หอม จากบัญชีวัตถุอันตราย,Real,1
สังเกต Email ปลอม ลวงหลอกให้กด,สังเกต Email ปลอม ลวงหลอกให้กด,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 15 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
"กระทรวงดิจิทัลฯ ประกาศรับสมัคร เจ้าหน้าที่ประจำศูนย์ดิจิทัลชุมชน มีค่าแรกเข้า 50,000 บาท","กระทรวงดิจิทัลฯ ประกาศรับสมัคร เจ้าหน้าที่ประจำศูนย์ดิจิทัลชุมชน มีค่าแรกเข้า , บาท",Fake,0
ตลาดหลักทรัพย์ฯ แนะนำทางสำหรับนักลงทุนมือใหม่ เข้าร่วมปันผลกับหุ้น OKJ,ตลาดหลักทรัพย์ฯ แนะนำทางสำหรับนักลงทุนมือใหม่ เข้าร่วมปันผลกับหุ้น OKJ,Fake,0
กระทรวงการคลัง ออกใบอนุญาตประกอบธุรกิจบริการการชำระเงินภายใต้กำกับให้ ปตท.,กระทรวงการคลัง ออกใบอนุญาตประกอบธุรกิจบริการการชำระเงินภายใต้กำกับให้ ปตท.,Fake,0
แผ่นดินไหวบริเวณหมู่เกาะนิโคบาร์ มหาสมุทรอินเดีย ไม่มีผลกระทบต่อไทย,แผ่นดินไหวบริเวณหมู่เกาะนิโคบาร์ มหาสมุทรอินเดีย ไม่มีผลกระทบต่อไทย,Real,1
สำนักงาน ก.ล.ต. แจ้งสัญญาข้อกำหนดและเงื่อนไขการจ่ายกำไร,สำนักงาน ก.ล.ต. แจ้งสัญญาข้อกำหนดและเงื่อนไขการจ่ายกำไร,Fake,0
ปิดการท่องเที่ยวและพักค้างแรมในอุทยานแห่งชาติแม่จริม จ.น่าน,ปิดการท่องเที่ยวและพักค้างแรมในอุทยานแห่งชาติแม่จริม จ.น่าน,Real,1
"OR เปิดเสนอขายหุ้นสามัญ IPO ให้ประชาชนทั่วไป เริ่มต้น 5,000 บาท ปันผลวันละ 1,480 บาท","OR เปิดเสนอขายหุ้นสามัญ IPO ให้ประชาชนทั่วไป เริ่มต้น , บาท ปันผลวันละ , บาท",Fake,0
เปิดแอร์ผิดวิธี เสี่ยงน้ำตาลในเลือดเพิ่ม,เปิดแอร์ผิดวิธี เสี่ยงน้ำตาลในเลือดเพิ่ม,Fake,0
ซื้อใบขับขี่ออนไลน์ เสี่ยงสูญข้อมูล เสียทั้งทรัพย์สิน,ซื้อใบขับขี่ออนไลน์ เสี่ยงสูญข้อมูล เสียทั้งทรัพย์สิน,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 14 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
ตลาดหลักทรัพย์แห่งประเทศไทย เปิดเพจเฟซบุ๊ก Carlos Blacke,ตลาดหลักทรัพย์แห่งประเทศไทย เปิดเพจเฟซบุ๊ก Carlos Blacke,Fake,0
กระทรวงยุติธรรม เปิดเพจเฟซบุ๊กให้ผู้ถูกหลอกลวงทางออนไลน์ ลงทะเบียนรับเงินคืน,กระทรวงยุติธรรม เปิดเพจเฟซบุ๊กให้ผู้ถูกหลอกลวงทางออนไลน์ ลงทะเบียนรับเงินคืน,Fake,0
วัสดุทำบัตรประชาชนขาดแคลน,วัสดุทำบัตรประชาชนขาดแคลน,Fake,0
ปราสาทตาควาย อยู่ในเขตแดนและอธิปไตยของกัมพูชา,ปราสาทตาควาย อยู่ในเขตแดนและอธิปไตยของกัมพูชา,Fake,0
ธารน้ำแข็งขั้วโลกกำลังละลาย อย่างรวดเร็ว ส่งผลต่อระดับน้ำทะเล,ธารน้ำแข็งขั้วโลกกำลังละลาย อย่างรวดเร็ว ส่งผลต่อระดับน้ำทะเล,Real,1
กระทรวงสาธารณสุข ยืนยัน เบกกิ้งโซดา ช่วยให้สายตากลับมามองเห็นชัดใน 5 วัน,กระทรวงสาธารณสุข ยืนยัน เบกกิ้งโซดา ช่วยให้สายตากลับมามองเห็นชัดใน วัน,Fake,0
"ลงทุนหุ้น OR เพื่อร่วมเป็นเจ้าของร้านกาแฟ เริ่มต้น 5,000.- รับปันผล 1,480.- /วัน","ลงทุนหุ้น OR เพื่อร่วมเป็นเจ้าของร้านกาแฟ เริ่มต้น ,.- รับปันผล ,.- /วัน",Fake,0
พื้นฐานควรรู้ ใช้อินเทอร์เน็ตอย่างไรให้ปลอดภัย,พื้นฐานควรรู้ ใช้อินเทอร์เน็ตอย่างไรให้ปลอดภัย,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 13 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
"โอ้กะจู๋ จับมือ OR เปิดขายหุ้น เริ่มต้น 1,000 บาท รับปันผล 390 บาทต่อวัน พร้อมผู้เชี่ยวชาญจาก ก.ล.ต. ให้คำแนะนำ","โอ้กะจู๋ จับมือ OR เปิดขายหุ้น เริ่มต้น , บาท รับปันผล บาทต่อวัน พร้อมผู้เชี่ยวชาญจาก ก.ล.ต. ให้คำแนะนำ",Fake,0
เพจ ออมสินพลัส โดย ธ.ออมสิน เปิดขายหวยออนไลน์ถูกกฎหมาย,เพจ ออมสินพลัส โดย ธ.ออมสิน เปิดขายหวยออนไลน์ถูกกฎหมาย,Fake,0
ลงทุนหุ้น OKJ กับเพจ สวนผักสลัดพันล้าน ปลูกผักด้วยความรัก มีผู้เชี่ยวชาญจาก ก.ล.ต. ให้คำแนะนำ,ลงทุนหุ้น OKJ กับเพจ สวนผักสลัดพันล้าน ปลูกผักด้วยความรัก มีผู้เชี่ยวชาญจาก ก.ล.ต. ให้คำแนะนำ,Fake,0
กองทัพไทย ส่งหน่วยพร้อมรบเคลื่อนที่เร็ว (RDF) เข้าทำลายข้าศึก จบสงครามได้ราบคาบ,กองทัพไทย ส่งหน่วยพร้อมรบเคลื่อนที่เร็ว (RDF) เข้าทำลายข้าศึก จบสงครามได้ราบคาบ,Fake,0
กรมพัฒนาธุรกิจการค้า ออกใบทะเบียนพาณิชย์ให้ Siam.Chan ประกอบธุรกิจจำหน่ายเฟอร์นิเจอร์,กรมพัฒนาธุรกิจการค้า ออกใบทะเบียนพาณิชย์ให้ Siam.Chan ประกอบธุรกิจจำหน่ายเฟอร์นิเจอร์,Fake,0
ธนาคารกรุงไทยเปิด TikTok ใหม่ ให้บริการสินเชื่อ ผ่านบัญชี ktb.online5,ธนาคารกรุงไทยเปิด TikTok ใหม่ ให้บริการสินเชื่อ ผ่านบัญชี ktb.online,Fake,0
PTT ส่ง SMS แบบลิงก์ แจ้งให้ผู้ใช้บริการรีบใช้คะแนนสะสม,PTT ส่ง SMS แบบลิงก์ แจ้งให้ผู้ใช้บริการรีบใช้คะแนนสะสม,Fake,0
รับมือเบอร์แปลกด้วยสติ,รับมือเบอร์แปลกด้วยสติ,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 12 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
ครม. อนุมัติรถไฟฟ้า 20 บาทตลอดสาย,ครม. อนุมัติรถไฟฟ้า บาทตลอดสาย,Real,1
แม่ทัพภาคที่ 2 เปิดรับบริจาคข้าวสารให้ทหารแนวหน้า,แม่ทัพภาคที่ เปิดรับบริจาคข้าวสารให้ทหารแนวหน้า,Fake,0
ปปง. เปิดเพจ Past 02 ให้ประชาชนแจ้งขอรับเงินคืนจากการถูกหลอก,ปปง. เปิดเพจ Past ให้ประชาชนแจ้งขอรับเงินคืนจากการถูกหลอก,Fake,0
กัมพูชายื่น UNESCO ขอชุดไทยแลกเปลี่ยนเพื่อจบปัญหาชายแดน,กัมพูชายื่น UNESCO ขอชุดไทยแลกเปลี่ยนเพื่อจบปัญหาชายแดน,Fake,0
กรมประมง ขยายโควตารับซื้อปลาหมอคางดำเพิ่ม 6 แสนกิโล,กรมประมง ขยายโควตารับซื้อปลาหมอคางดำเพิ่ม แสนกิโล,Real,1
เว็บไซต์ใหม่ของสำนักงาน ก.ล.ต.,เว็บไซต์ใหม่ของสำนักงาน ก.ล.ต.,Fake,0
ข่าวเด่นน่าสนใจประจำสัปดาห์ (วันที่ 4 - 10 ก.ค. 68),ข่าวเด่นน่าสนใจประจำสัปดาห์ (วันที่ - ก.ค. ),Real,1
PTT ส่ง SMS แจ้งผู้ใช้บริการ ให้แลกคะแนนสะสมผ่านลิงก์,PTT ส่ง SMS แจ้งผู้ใช้บริการ ให้แลกคะแนนสะสมผ่านลิงก์,Fake,0
วันเข้าพรรษา,วันเข้าพรรษา,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 11 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
SMS แนบลิงก์ = SMS ปลอม,SMS แนบลิงก์ = SMS ปลอม,Real,1
เผยคลิปลับ เจ้าหน้าที่สำนักงานตรวจคนเข้าเมือง เป็นเพื่อนกับเจ้าของร้านอาหารชาวจีน,เผยคลิปลับ เจ้าหน้าที่สำนักงานตรวจคนเข้าเมือง เป็นเพื่อนกับเจ้าของร้านอาหารชาวจีน,Fake,0
เปิดบริการรับทำใบขับขี่ไทยให้ชาวจีน ผ่าน TikTok ชื่อ qkooytuiw7d,เปิดบริการรับทำใบขับขี่ไทยให้ชาวจีน ผ่าน TikTok ชื่อ qkooytuiwd,Fake,0
"รัฐบาลไทยเก็บภาษีไม่เข้าเป้า ขาดกว่า 12,000 ล้าน ทำให้ต้องกู้เพิ่ม 7.7 แสนล้านบาท","รัฐบาลไทยเก็บภาษีไม่เข้าเป้า ขาดกว่า , ล้าน ทำให้ต้องกู้เพิ่ม . แสนล้านบาท",Fake,0
"OR เสนอขายหุ้นสามัญเพิ่มทุนแก่ประชาชนทั่วไปครั้งแรก (IPO) ลงทุน 1,000-3,000 บาท รับคืน 290-990 บาทต่อวัน","OR เสนอขายหุ้นสามัญเพิ่มทุนแก่ประชาชนทั่วไปครั้งแรก (IPO) ลงทุน ,-, บาท รับคืน - บาทต่อวัน",Fake,0
กัมพูชาเร่งให้ไทยส่งคืนวัตถุโบราณ 20 รายการ โดยจะออกค่าใช้จ่ายเองทั้งหมด,กัมพูชาเร่งให้ไทยส่งคืนวัตถุโบราณ รายการ โดยจะออกค่าใช้จ่ายเองทั้งหมด,Fake,0
ประชาสัมพันธ์ กรมประมง เปิดเพจเฟซบุ๊กสำรอง,ประชาสัมพันธ์ กรมประมง เปิดเพจเฟซบุ๊กสำรอง,Fake,0
สำนักงาน ปปง. คืนเงินเหยื่อแก๊งคอลเซ็นเตอร์ ผ่านเพจ สอบสวน,สำนักงาน ปปง. คืนเงินเหยื่อแก๊งคอลเซ็นเตอร์ ผ่านเพจ สอบสวน,Fake,0
วันอาสาฬหบูชา,วันอาสาฬหบูชา,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 10 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
รายละเอียดกติกาและเงื่อนไขการเข้าร่วมกิจกรรม “จับคู่ข่าว ดูแล้วเว่อ อย่าเผลอลงทุน!”,รายละเอียดกติกาและเงื่อนไขการเข้าร่วมกิจกรรม “จับคู่ข่าว ดูแล้วเว่อ อย่าเผลอลงทุน!”,Real,1
ตลาดหลักทรัพย์ฯ เปิดให้ลงทุนผ่านบัญชีไลน์ SET SERVICE,ตลาดหลักทรัพย์ฯ เปิดให้ลงทุนผ่านบัญชีไลน์ SET SERVICE,Fake,0
"ลงทุนหุ้น OR เพื่อร่วมบริหารคาเฟ่ อเมซอน เริ่ม 1,000 บาท รับผลตอบแทน 360 บาทต่อวัน","ลงทุนหุ้น OR เพื่อร่วมบริหารคาเฟ่ อเมซอน เริ่ม , บาท รับผลตอบแทน บาทต่อวัน",Fake,0
คนต่างด้าวทำบัตรประชาชนคนไทยได้แล้ว,คนต่างด้าวทำบัตรประชาชนคนไทยได้แล้ว,Fake,0
"ธนาคารออมสิน เปิดโครงการใหม่ กู้ออนไลน์ ได้ทุกอาชีพ วงเงิน 70,000 บาท","ธนาคารออมสิน เปิดโครงการใหม่ กู้ออนไลน์ ได้ทุกอาชีพ วงเงิน , บาท",Fake,0
หากถูกเห็บกัด มีความเสี่ยงที่จะเสียชีวิตจากไวรัสโพวาสซานได้,หากถูกเห็บกัด มีความเสี่ยงที่จะเสียชีวิตจากไวรัสโพวาสซานได้,Real,1
ปปง. คืนเงินให้ผู้เสียหายจากการถูกมิจฉาชีพหลอก ผ่านเพจเฟซบุ๊ก Daily news distribution center,ปปง. คืนเงินให้ผู้เสียหายจากการถูกมิจฉาชีพหลอก ผ่านเพจเฟซบุ๊ก Daily news distribution center,Fake,0
กัมพูชาสั่งห้ามไทย ส่งยาให้ผู้ป่วยผ่านด่านช่องจอม,กัมพูชาสั่งห้ามไทย ส่งยาให้ผู้ป่วยผ่านด่านช่องจอม,Fake,0
รักษาความเป็นส่วนตัวให้ปลอดภัย วิธีใช้ Wi-Fi ฟรี ในที่สาธารณะ,รักษาความเป็นส่วนตัวให้ปลอดภัย วิธีใช้ Wi-Fi ฟรี ในที่สาธารณะ,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 9 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
"OR ให้ร่วมลงทุนหุ้น Café Amazon เปิดพอร์ต เริ่มต้น 1,000 บาท ผลตอบแทน 290 บาท","OR ให้ร่วมลงทุนหุ้น Café Amazon เปิดพอร์ต เริ่มต้น , บาท ผลตอบแทน บาท",Fake,0
รัฐบาลเตรียมออกโครงการสนับสนุนช่วยเหลือเกษตรผู้ปลูกข้าวนาปี,รัฐบาลเตรียมออกโครงการสนับสนุนช่วยเหลือเกษตรผู้ปลูกข้าวนาปี,Real,1
ธนาคารกรุงไทย ให้บริการสินเชื่อ ทาง TikTok ktb.thailand92,ธนาคารกรุงไทย ให้บริการสินเชื่อ ทาง TikTok ktb.thailand,Fake,0
ชาวนาไทย ขายข้าวได้ราคาต่ำกว่าปี 2566 เกือบ 2 เท่า,ชาวนาไทย ขายข้าวได้ราคาต่ำกว่าปี เกือบ เท่า,Fake,0
เจ้าหน้าที่ ธารมิกา รับทำใบขับขี่ทุกประเภท เพียงติดต่อผ่านไลน์,เจ้าหน้าที่ ธารมิกา รับทำใบขับขี่ทุกประเภท เพียงติดต่อผ่านไลน์,Fake,0
กรมอุทยานฯ เปิดให้ซื้อพ่อแม่พันธุ์ตัวเงินตัวทอง ตัวละ 500 บาท,กรมอุทยานฯ เปิดให้ซื้อพ่อแม่พันธุ์ตัวเงินตัวทอง ตัวละ บาท,Real,1
เกิดแผ่นดินไหวรอบไทย 4 จุด เตือนแนวเกาะนิโคบาร์ เสี่ยงสึนามิสูงเทียบตึก 7–8 ชั้น,เกิดแผ่นดินไหวรอบไทย จุด เตือนแนวเกาะนิโคบาร์ เสี่ยงสึนามิสูงเทียบตึก – ชั้น,Fake,0
เตือนภัย! มิจลวงสมัครบัตรเครดิต ,เตือนภัย! มิจลวงสมัครบัตรเครดิต,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 8 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
OR เสนอขายหุ้น IPO ผ่านเพจ Amz Premium Quality Coffee,OR เสนอขายหุ้น IPO ผ่านเพจ Amz Premium Quality Coffee,Fake,0
ออมสินยกเลิกสิทธิประโยชน์ บัตรเดบิตอุ่นใจ สวนทางกับที่โฆษณา,ออมสินยกเลิกสิทธิประโยชน์ บัตรเดบิตอุ่นใจ สวนทางกับที่โฆษณา,Fake,0
แจ้งผู้ว่าฯ 7 จังหวัด ชายแดนไทย-กัมพูชา เตรียมแผนอพยพประชาชน,แจ้งผู้ว่าฯ จังหวัด ชายแดนไทย-กัมพูชา เตรียมแผนอพยพประชาชน,Fake,0
ปลายปีนี้ ภาคกลางจะถูกน้ำถล่มต่อจากภาคใต้ ส่วนภาคเหนือจะมีพายุตลอดทั้งปี และน้ำจะไหลลงภาคกลาง,ปลายปีนี้ ภาคกลางจะถูกน้ำถล่มต่อจากภาคใต้ ส่วนภาคเหนือจะมีพายุตลอดทั้งปี และน้ำจะไหลลงภาคกลาง,Fake,0
ระนอง พังงา ภูเก็ต กระบี่ เฝ้าระวังสึนามิ และแผ่นดินไหวรุนแรง ที่ภูเขาไฟใต้น้ำ,ระนอง พังงา ภูเก็ต กระบี่ เฝ้าระวังสึนามิ และแผ่นดินไหวรุนแรง ที่ภูเขาไฟใต้น้ำ,Fake,0
ตัวเงินตัวทองเพาะพันธุ์ได้ ต้องได้รับอนุญาตจากกรมอุทยานแห่งชาติฯ,ตัวเงินตัวทองเพาะพันธุ์ได้ ต้องได้รับอนุญาตจากกรมอุทยานแห่งชาติฯ,Real,1
สารเสพติดลวงเยาวชน หน้าตาเป็นมิตร แต่อันตรายถึงชีวิต,สารเสพติดลวงเยาวชน หน้าตาเป็นมิตร แต่อันตรายถึงชีวิต,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 7 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
ธ.กรุงไทย ปล่อยสินเชื่อ ผ่าน TikTok ชื่อ .ktb51,ธ.กรุงไทย ปล่อยสินเชื่อ ผ่าน TikTok ชื่อ .ktb,Fake,0
รัฐบาลใช้ฝนเทียม เพื่อสลายการชุมนุม,รัฐบาลใช้ฝนเทียม เพื่อสลายการชุมนุม,Fake,0
เพจ จ๊อบแมทช์ - JobMatch สร้างอาชีพ รับสมัครพนักงานแพ็กสินค้า โดยกรมการจัดหางาน,เพจ จ๊อบแมทช์ - JobMatch สร้างอาชีพ รับสมัครพนักงานแพ็กสินค้า โดยกรมการจัดหางาน,Fake,0
เพิ่มเงินชดเชยการว่างงานจากการถูกเลิกจ้าง ร้อยละ 60 ของค่าจ้างรายวัน,เพิ่มเงินชดเชยการว่างงานจากการถูกเลิกจ้าง ร้อยละ ของค่าจ้างรายวัน,Real,1
"1 ส.ค. - 15 ก.ย. 68 กลุ่มอายุ 16 ปีขึ้นไป เตรียมยืนยันตัวตนรับเงินดิจิทัลวอลเล็ต 10,000 บาท","ส.ค. - ก.ย. กลุ่มอายุ ปีขึ้นไป เตรียมยืนยันตัวตนรับเงินดิจิทัลวอลเล็ต , บาท",Fake,0
ปปง. คืนเงินให้ผู้เสียหายจากแก๊งคอลเซ็นเตอร์ ติดต่อผ่านเพจ Stop the investigation,ปปง. คืนเงินให้ผู้เสียหายจากแก๊งคอลเซ็นเตอร์ ติดต่อผ่านเพจ Stop the investigation,Fake,0
"OR เสนอขายหุ้นประชาชนทั่วไป เริ่มต้น 1,000 บาท ปันผลสูงสุด 990 บาทต่อวัน","OR เสนอขายหุ้นประชาชนทั่วไป เริ่มต้น , บาท ปันผลสูงสุด บาทต่อวัน",Fake,0
เปิดขั้นตอนล่าเหยื่อของมิจฉาชีพ ไม่ระวัง เงินหายเกลี้ยง,เปิดขั้นตอนล่าเหยื่อของมิจฉาชีพ ไม่ระวัง เงินหายเกลี้ยง,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 6 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
ป.ป.ท. เปิดให้ส่งหลักฐานขอรับเงินคืนจากการถูกหลอกออนไลน์ ที่เพจเฟซบุ๊ก Technology Crime Th,ป.ป.ท. เปิดให้ส่งหลักฐานขอรับเงินคืนจากการถูกหลอกออนไลน์ ที่เพจเฟซบุ๊ก Technology Crime Th,Fake,0
ประกันสังคม เพิ่มสิทธิยุติการตั้งครรภ์,ประกันสังคม เพิ่มสิทธิยุติการตั้งครรภ์,Real,1
เกิดแผ่นดินไหวล้อมไทย ภาคเหนือ-อีสาน-ใต้ ต้องเฝ้าระวัง,เกิดแผ่นดินไหวล้อมไทย ภาคเหนือ-อีสาน-ใต้ ต้องเฝ้าระวัง,Fake,0
ขยายระยะเวลาเข้าร่วมโครงการ คุณสู้ เราช่วย ถึง 30 ก.ย. 68,ขยายระยะเวลาเข้าร่วมโครงการ คุณสู้ เราช่วย ถึง ก.ย.,Real,1
การไฟฟ้าส่วนภูมิภาค เปิดไลน์ใหม่ให้บริการประชาชน,การไฟฟ้าส่วนภูมิภาค เปิดไลน์ใหม่ให้บริการประชาชน,Fake,0
กรมการจัดหางาน เปิดรับสมัครงานทำที่บ้าน รายได้ 300–500 บาทต่อวัน ผ่านเพจ ไทยหางาน,กรมการจัดหางาน เปิดรับสมัครงานทำที่บ้าน รายได้ – บาทต่อวัน ผ่านเพจ ไทยหางาน,Fake,0
กัมพูชา สั่งห้ามนำเข้าสินค้าไทยผ่านทางทะเล,กัมพูชา สั่งห้ามนำเข้าสินค้าไทยผ่านทางทะเล,Fake,0
คิดให้ดี รับจ้างเปิดบัญชีม้า ผิดกฎหมาย มีโทษหนัก,คิดให้ดี รับจ้างเปิดบัญชีม้า ผิดกฎหมาย มีโทษหนัก,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 5 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
"OR เปิดให้ร่วมลงทุนหุ้นธุรกิจค้าปลีก เริ่มต้น 1,000 ปันผล 450 บาท/วัน","OR เปิดให้ร่วมลงทุนหุ้นธุรกิจค้าปลีก เริ่มต้น , ปันผล บาท/วัน",Fake,0
เด็กไทยอ้วนเป็นอันดับ 3 ของอาเซียน,เด็กไทยอ้วนเป็นอันดับ ของอาเซียน,Real,1
ภูเก็ต พบผู้ติดเชื้อ HIV รายใหม่ เพิ่ม 244 ราย,ภูเก็ต พบผู้ติดเชื้อ HIV รายใหม่ เพิ่ม ราย,Fake,0
เกิดแผ่นดินไหวขนาด 5.1 แมกนิจูด ลึก 10 กม. ในแนววงแหวนแห่งไฟบริเวณทะเลอันดามัน ,เกิดแผ่นดินไหวขนาด . แมกนิจูด ลึก กม. ในแนววงแหวนแห่งไฟบริเวณทะเลอันดามัน,Fake,0
เตือน! กินไข่ดิบเสี่ยงติดเชื้อโรค อันตรายถึงชีวิต,เตือน! กินไข่ดิบเสี่ยงติดเชื้อโรค อันตรายถึงชีวิต,Real,1
"ออมสิน ปล่อยสินเชื่อให้ยืม ขั้นต่ำ 10,000 บาท สูงสุด 1,000,000 บาท ผ่านเพจ LEASE it PCL 471","ออมสิน ปล่อยสินเชื่อให้ยืม ขั้นต่ำ , บาท สูงสุด ,, บาท ผ่านเพจ LEASE it PCL",Fake,0
เดือนกรกฎาคม 68 จะมีคนชุมพรและนราธิวาส เสียชีวิตเพราะสึนามิเป็นแสนคน,เดือนกรกฎาคม จะมีคนชุมพรและนราธิวาส เสียชีวิตเพราะสึนามิเป็นแสนคน,Fake,0
ข่าวเด่นน่าสนใจประจำสัปดาห์ (วันที่ 27 มิ.ย. - 3 ก.ค. 68),ข่าวเด่นน่าสนใจประจำสัปดาห์ (วันที่ มิ.ย. - ก.ค. ),Real,1
3 วิธีจับไต๋มิจฉาชีพใช้ AI ปลอมเสียง,วิธีจับไต๋มิจฉาชีพใช้ AI ปลอมเสียง,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 4 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
"OR เปิดโอกาสลงทุนธุรกิจกาแฟ เริ่มต้น 1,000 บาท รับผลตอบแทน 300/วัน ผ่านเพจ Prime Investment by OR","OR เปิดโอกาสลงทุนธุรกิจกาแฟ เริ่มต้น , บาท รับผลตอบแทน /วัน ผ่านเพจ Prime Investment by OR",Fake,0
ก.ล.ต. ส่งผู้เชี่ยวชาญให้คำแนะนำแนวทางการลงทุน,ก.ล.ต. ส่งผู้เชี่ยวชาญให้คำแนะนำแนวทางการลงทุน,Fake,0
"OR เปิดให้ร่วมลงทุนหุ้น เริ่มต้น 1,000 บาท ปันผล 290 ต่อวัน","OR เปิดให้ร่วมลงทุนหุ้น เริ่มต้น , บาท ปันผล ต่อวัน",Fake,0
ช่วงนี้ทะเลอันดามันเกิดแผ่นดินไหวขนาดปานกลางบ่อยครั้ง เสี่ยงเกิดสึนามิได้,ช่วงนี้ทะเลอันดามันเกิดแผ่นดินไหวขนาดปานกลางบ่อยครั้ง เสี่ยงเกิดสึนามิได้,Fake,0
กระทรวงอุตสาหกรรม ใช้ AI “มอก.วอทช์” คุมเข้มสินค้าออนไลน์,กระทรวงอุตสาหกรรม ใช้ AI “มอก.วอทช์” คุมเข้มสินค้าออนไลน์,Real,1
วันที่ 5 ก.ค. 68 จะเกิดสึนามิใน จ.ชุมพร และ นราธิวาส,วันที่ ก.ค. จะเกิดสึนามิใน จ.ชุมพร และ นราธิวาส,Fake,0
ทำใบขับขี่ออนไลน์ได้ทุกประเภท ติดต่อ เพจเฟซบุ๊กชนิตรา,ทำใบขับขี่ออนไลน์ได้ทุกประเภท ติดต่อ เพจเฟซบุ๊กชนิตรา,Fake,0
วิธีตั้ง Password ให้แน่นหนาเหมือนเลือกซื้อกุญแจบ้าน,วิธีตั้ง Password ให้แน่นหนาเหมือนเลือกซื้อกุญแจบ้าน,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 3 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
เพจสัมนักงานประชาสำพันธ์ จังหวัดสมุทรสงคราม เปิดรับบริจาคช่วยเหลือเหตุไฟไหม้,เพจสัมนักงานประชาสำพันธ์ จังหวัดสมุทรสงคราม เปิดรับบริจาคช่วยเหลือเหตุไฟไหม้,Fake,0
ก.ล.ต. เปิดบัญชีรับโอนเงิน สำหรับยืนยันตัวตนนักลงทุน,ก.ล.ต. เปิดบัญชีรับโอนเงิน สำหรับยืนยันตัวตนนักลงทุน,Fake,0
"ธนาคารกรุงไทย เปิดให้ลงทะเบียนกู้ 200,000 บาท ผ่อน 4,333 ต่อเดือน ไม่เช็กเครดิตบูโร","ธนาคารกรุงไทย เปิดให้ลงทะเบียนกู้ , บาท ผ่อน , ต่อเดือน ไม่เช็กเครดิตบูโร",Fake,0
